,id,source,target,length_m,X,Y,name,charging_stations,model_type,range,capacity
210,10210,,,,4.67615568352576,51.8209032063936,8867986,0.0,intermediate_node,150000,600
211,10211,,,,5.53647006750229,51.8163539576368,8860920,0.0,intermediate_node,150000,600
212,10212,,,,4.89089505800375,52.39539337011001,8866747,0.0,intermediate_node,150000,600
213,10213,,,,5.23961367252945,52.4033326724312,8864005,2.0,harbour_with_charging,150000,600
214,10214,,,,4.78635008378718,51.91878398380171,8862776,2.0,harbour_with_charging,150000,600
215,10215,,,,6.59651980427865,53.2217842753329,8862419,1.0,harbour_with_charging,150000,600
216,10216,,,,5.42227204182425,53.1795510946011,8865756,2.0,harbour_with_charging,150000,600
217,10217,,,,5.37278307062632,51.6801484679581,11309058,0.0,intermediate_node,150000,600
218,10218,,,,4.36449230555151,51.89941686597749,8863206,2.0,harbour_with_charging,150000,600
219,10219,,,,4.72158319425011,52.4335972736418,8862048,0.0,intermediate_node,150000,600
220,10220,,,,4.8917139746759,51.8193220656992,22638029,0.0,intermediate_node,150000,600
221,10221,,,,6.944693261992941,53.3247348479598,8868065,0.0,intermediate_node,150000,600
222,10222,,,,4.84059469180422,52.4181119618773,8863272,0.0,intermediate_node,150000,600
223,10223,,,,5.33961919677562,51.9609432689424,8860631,0.0,intermediate_node,150000,600
224,10224,,,,4.66241233943516,52.4758516323328,8866671,0.0,harbour,150000,600
